* Block Type = 96-Well 0.2-mL Block
* Chemistry = TAQMAN
* Date Created = 2015-12-22 09:15:13 AM PST
* Experiment Barcode = NA
* Experiment Comment = Prime Star GXL mg/dntp start
grid screen 40, 45, 50 deg
* Experiment File Name = D:\Users\INSTR-USER\Desktop\Yarrow\Results\122115\2015-12_21_1_Prime_Star_GXL_Pol_kinetics.eds
* Experiment Name = 2015-12_21_1_Prime_Star_GXL_Pol_kinetics
* Experiment Run End Time = 2015-12-21 10:21:47 AM PST
* Experiment Type = Custom
* Instrument Name =       quantstudio3
* Instrument Serial Number = 272320216
* Instrument Type = QuantStudio® 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage4, Step1
* User Name = Yarrow

[Multicomponent Data]
Well Position	Cycle	ROX	SYBR
      D7	5	88,041.445	844,930.500
      D8	5		
      D9	5		
      D10	5	81,802.633	818,740.875
      D11	5		
      D12	5		
      E1	5		
      E2	5	81,204.570	753,196.438
      E3	5	85,065.984	752,663.562
      E4	5	91,242.328	832,748.375
      E5	5	88,099.555	599,284.062
      E6	5	89,508.938	820,985.875
      E7	5	90,371.180	824,712.125
      E8	5		
      E9	5		
      E10	5	77,519.328	657,097.688
      E11	5		
      E12	5		
      F1	5		
      F2	5	82,051.625	1,310,614.125
      F3	5	66,086.766	1,367,356.875
      F4	5	97,969.070	890,591.625
      F5	5	85,617.898	570,671.250
      F6	5	84,271.344	742,830.812
      F7	5	90,472.047	759,965.500
      F8	5		
      F9	5		
      F10	5	79,059.562	523,933.156
      F11	5		
      F12	5		
      G1	5		
      G2	5	59,228.281	1,793,478.500
      G3	5	56,311.461	1,848,678.875
      G4	5	91,184.930	811,309.688
      G5	5	75,729.305	537,988.562
      G6	5	78,795.820	654,570.875
      G7	5	81,791.328	653,519.562
      G8	5		
      G9	5		
      G10	5	73,501.398	443,084.688
      G11	5		
      G12	5		
      H1	5		
      H2	5	40,960.555	2,208,163.500
      H3	5	38,907.227	2,181,723.000
      H4	5		
      H5	5		
      H6	5		
      H7	5		
      H8	5		
      H9	5		
      H10	5		
      H11	5		
      H12	5		
      A1	6		
      A2	6		
      A3	6		
      A4	6	125,323.805	1,244,000.125
      A5	6	101,866.344	634,193.000
      A6	6	100,597.922	1,146,000.625
      A7	6	96,943.867	1,147,225.125
      A8	6		
      A9	6		
      A10	6	94,887.914	1,172,744.875
      A11	6		
      A12	6		
      B1	6		
      B2	6		
      B3	6		
      B4	6	105,363.133	998,099.250
      B5	6	94,978.547	582,416.688
      B6	6	89,458.195	1,013,756.750
      B7	6	93,691.664	1,042,609.938
      B8	6		
      B9	6		
      B10	6	85,302.883	1,030,447.812
      B11	6		
      B12	6		
      C1	6		
      C2	6		
      C3	6		
      C4	6	98,891.453	947,311.250
      C5	6	86,990.898	553,786.688
      C6	6	89,667.477	955,276.250
      C7	6	88,120.633	930,735.938
      C8	6		
      C9	6		
      C10	6	81,314.141	973,483.312
      C11	6		
      C12	6		
      D1	6		
      D2	6		
      D3	6		
      D4	6	99,293.797	964,782.062
      D5	6	91,085.852	600,332.312
      D6	6	84,984.086	882,802.000
      D7	6	87,843.172	883,925.375
      D8	6		
      D9	6		
      D10	6	81,438.312	895,337.000
      D11	6		
      D12	6		
      E1	6		
      E2	6	80,721.070	752,125.250
      E3	6	85,101.281	754,155.500
      E4	6	90,953.445	847,306.312
      E5	6	87,522.641	599,819.438
      E6	6	89,350.273	851,635.500
      E7	6	90,169.266	852,511.062
      E8	6		
      E9	6		
      E10	6	77,316.539	710,930.375
      E11	6		
      E12	6		
      F1	6		
      F2	6	81,352.375	1,306,675.250
      F3	6	65,493.969	1,366,774.625
      F4	6	97,763.938	901,850.375
      F5	6	85,686.938	569,122.750
      F6	6	84,498.898	768,630.750
      F7	6	90,387.094	781,221.000
      F8	6		
      F9	6		
      F10	6	78,960.180	549,901.438
      F11	6		
      F12	6		
      G1	6		
      G2	6	59,111.508	1,794,469.625
      G3	6	56,214.516	1,854,254.875
      G4	6	91,060.562	819,377.688
      G5	6	75,650.492	538,162.375
      G6	6	78,888.234	669,498.875
      G7	6	82,141.078	664,869.812
      G8	6		
      G9	6		
      G10	6	73,294.500	453,751.125
      G11	6		
      G12	6		
      H1	6		
      H2	6	40,750.121	2,209,968.750
      H3	6	38,699.355	2,179,650.000
      H4	6		
      H5	6		
      H6	6		
      H7	6		
      H8	6		
